timestamp,frame,arm_angle,back_angle,knee_angle
2025-09-19T19:21:35.915093,1,94,161,153
2025-09-19T19:21:36.111768,2,86,162,153
2025-09-19T19:21:36.230364,3,178,166,165
2025-09-19T19:21:36.313774,4,174,169,164
2025-09-19T19:21:36.397679,5,170,173,176
2025-09-19T19:21:36.490985,6,160,168,171
2025-09-19T19:21:36.586625,7,158,166,175
2025-09-19T19:21:36.668886,8,,174,179
2025-09-19T19:21:36.755118,9,157,173,179
2025-09-19T19:21:36.837234,10,167,177,176
2025-09-19T19:21:36.919903,11,163,178,177
2025-09-19T19:21:37.007484,12,,177,171
2025-09-19T19:21:37.115571,13,,178,177
2025-09-19T19:21:37.200521,14,128,177,174
2025-09-19T19:21:37.294511,15,137,178,172
2025-09-19T19:21:37.383770,16,137,178,171
2025-09-19T19:21:37.466177,17,129,174,170
2025-09-19T19:21:37.550066,18,158,176,171
2025-09-19T19:21:37.628870,19,,178,172
2025-09-19T19:21:37.706401,20,,179,173
2025-09-19T19:21:37.783371,21,125,177,174
2025-09-19T19:21:37.868602,22,,178,176
2025-09-19T19:21:37.956002,23,121,179,176
2025-09-19T19:21:38.037481,24,114,176,173
2025-09-19T19:21:38.133538,25,117,178,170
2025-09-19T19:21:38.235371,26,116,178,171
2025-09-19T19:21:38.320807,27,70,176,176
2025-09-19T19:21:38.399345,28,76,169,175
2025-09-19T19:21:38.484156,29,,174,174
2025-09-19T19:21:38.573281,30,,178,177
2025-09-19T19:21:38.654444,31,,177,173
2025-09-19T19:21:38.732883,32,,172,167
2025-09-19T19:21:38.809446,33,77,171,173
2025-09-19T19:21:38.886054,34,74,167,169
2025-09-19T19:21:38.965120,35,71,178,176
2025-09-19T19:21:39.064519,36,74,177,178
2025-09-19T19:21:39.154741,37,63,176,171
2025-09-19T19:21:39.230792,38,72,175,175
2025-09-19T19:21:39.306328,39,25,174,174
2025-09-19T19:21:39.383968,40,30,174,175
2025-09-19T19:21:39.460485,41,25,176,178
2025-09-19T19:21:39.537692,42,42,174,168
2025-09-19T19:21:39.613565,43,36,172,165
2025-09-19T19:21:39.709468,44,59,169,169
2025-09-19T19:21:39.797629,45,61,172,164
2025-09-19T19:21:39.876683,46,40,171,173
2025-09-19T19:21:39.955600,47,30,171,172
2025-09-19T19:21:40.034041,48,51,174,174
2025-09-19T19:21:40.111605,49,,,169
2025-09-19T19:21:40.195651,50,,,170
2025-09-19T19:21:40.290829,51,,176,166
2025-09-19T19:21:40.374371,52,,164,161
2025-09-19T19:21:40.448757,53,167,169,162
2025-09-19T19:21:40.538956,54,101,176,177
2025-09-19T19:21:40.624069,55,164,168,174
2025-09-19T19:21:40.698287,56,73,179,176
2025-09-19T19:21:40.773187,57,,,
2025-09-19T19:21:40.843381,58,,171,168
2025-09-19T19:21:40.916933,59,,177,165
2025-09-19T19:21:40.988508,60,130,172,170
2025-09-19T19:21:41.064734,61,148,175,176
2025-09-19T19:21:41.142481,62,141,175,166
2025-09-19T19:21:41.218402,63,134,174,175
2025-09-19T19:21:41.300692,64,133,174,174
2025-09-19T19:21:41.384968,65,139,176,170
2025-09-19T19:21:41.477173,66,127,174,176
2025-09-19T19:21:41.568053,67,126,178,174
2025-09-19T19:21:41.649919,68,124,178,175
2025-09-19T19:21:41.728744,69,127,179,174
2025-09-19T19:21:41.806846,70,124,176,175
2025-09-19T19:21:41.895422,71,123,178,173
2025-09-19T19:21:41.970118,72,111,179,173
2025-09-19T19:21:42.048517,73,151,171,168
2025-09-19T19:21:42.125591,74,163,174,170
2025-09-19T19:21:42.201857,75,142,170,167
2025-09-19T19:21:42.276738,76,141,173,168
2025-09-19T19:21:42.359491,77,127,178,179
2025-09-19T19:21:42.438504,78,152,177,172
2025-09-19T19:21:42.515791,79,156,178,172
2025-09-19T19:21:42.605158,80,179,179,175
2025-09-19T19:21:42.699126,81,48,176,175
2025-09-19T19:21:42.792427,82,77,176,174
2025-09-19T19:21:42.885377,83,84,174,175
2025-09-19T19:21:42.978587,84,104,172,173
2025-09-19T19:21:43.082774,85,152,168,179
2025-09-19T19:21:43.171571,86,71,168,178
2025-09-19T19:21:43.253575,87,90,173,178
2025-09-19T19:21:43.338787,88,94,173,179
2025-09-19T19:21:43.420785,89,84,175,173
2025-09-19T19:21:43.535084,90,82,171,176
2025-09-19T19:21:43.647038,91,114,179,177
2025-09-19T19:21:43.746562,92,136,177,179
2025-09-19T19:21:43.834756,93,119,176,179
